gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
ENSG00000307914	0	30.08318973	1.497023822	26.43206787	8.02107327	14.31220673
ENSG00000307922	1.35202355	22.0610058	1.497023822	14.41749157	0.729188479	2.201877959
ENSG00000307924	0.450674517	6.016637945	0	0	0	0
ENSG00000307927	5.408094199	76.2107473	6.986111171	40.84955944	16.04214654	17.61502367
ENSG00000307934	0	0	0	0	0	0
ENSG00000307945	0	38.10537365	2.495039704	7.208745783	4.375130875	2.201877959
ENSG00000307950	0	0	0.499007941	0	1.458376958	0
ENSG00000307951	1.802698066	8.022183927	0	7.208745783	2.187565437	4.403755917
ENSG00000307956	1.35202355	18.04991384	2.994047645	14.41749157	5.104319354	8.807511835
ENSG00000307957	0.450674517	0	0	0	0	0
ENSG00000307961	7.210792265	84.23293123	6.986111171	21.62623735	13.8545811	17.61502367
ENSG00000307963	0	8.022183927	0	0	0	0
ENSG00000307971	0	4.011091963	0.499007941	2.402915261	2.916753916	1.100938979
ENSG00000307979	0.450674517	0	1.497023822	0	2.916753916	0
ENSG00000307982	0.901349033	2.005545982	0	0	0	0
ENSG00000307990	0.450674517	0	0	0	1.458376958	0
ENSG00000307994	0	0	0	2.402915261	0	0
ENSG00000307995	0	16.04436785	0	4.805830522	1.458376958	1.100938979
ENSG00000307997	6.309443232	100.2772991	4.491071467	60.07288152	13.12539262	26.4225355
ENSG00000308003	0	4.011091963	0.499007941	2.402915261	2.187565437	0
ENSG00000308009	2.704047099	4.011091963	0.499007941	0	0.729188479	0
ENSG00000308012	0	20.05545982	0.499007941	7.208745783	1.458376958	2.201877959
ENSG00000308027	0.901349033	0	0	0	0	0
ENSG00000308042	0.450674517	2.005545982	0	0	0	1.100938979
ENSG00000308045	0	0	0	0	0	0
ENSG00000308051	0	24.06655178	2.495039704	31.23789839	5.833507833	7.706572855
ENSG00000308067	0.901349033	44.1220116	5.988095289	28.83498313	3.645942395	16.51408469
ENSG00000308072	0.450674517	0	0.998015882	0	0	0
ENSG00000308079	0	0	0.499007941	4.805830522	1.458376958	1.100938979
ENSG00000308082	0	6.016637945	0.499007941	4.805830522	0	1.100938979
ENSG00000308086	0.450674517	0	0	0	0.729188479	0
ENSG00000308091	4.056070649	0	0.499007941	0	0.729188479	1.100938979
ENSG00000308095	1.802698066	0	0	0	1.458376958	0
ENSG00000308112	0	0	0	0	0.729188479	0
ENSG00000308129	0.901349033	0	0	0	0	1.100938979
ENSG00000308155	0	0	0.998015882	7.208745783	2.916753916	1.100938979
ENSG00000308157	1.802698066	6.016637945	0	0	0	0
ENSG00000308167	0	8.022183927	0.499007941	4.805830522	1.458376958	1.100938979
ENSG00000308172	0	4.011091963	0.499007941	4.805830522	0.729188479	2.201877959
ENSG00000308185	10.8161884	399.1036504	22.45535733	79.29620361	30.62591612	42.93662019
ENSG00000308189	0	12.03327589	3.493055585	19.22332209	5.833507833	5.504694897
ENSG00000308191	0	4.011091963	0	4.805830522	0	2.201877959
ENSG00000308192	0.450674517	2.005545982	0.499007941	0	0.729188479	1.100938979
ENSG00000308204	3.154721616	22.0610058	3.493055585	4.805830522	2.916753916	3.302816938
ENSG00000308209	0	6.016637945	0	4.805830522	2.916753916	0
ENSG00000308222	0	4.011091963	0.499007941	0	1.458376958	4.403755917
ENSG00000308223	0.901349033	20.05545982	0.998015882	14.41749157	2.187565437	3.302816938
ENSG00000308228	0	8.022183927	0	0	0	0
ENSG00000308230	4.506745165	2.005545982	2.994047645	2.402915261	6.562696312	3.302816938
ENSG00000308231	0	2.005545982	0	7.208745783	2.187565437	1.100938979
ENSG00000308234	0	4.011091963	0.499007941	0	0.729188479	1.100938979
ENSG00000308243	0	0	0	0	0	0
ENSG00000308249	0	0	0	0	0	0
ENSG00000308252	0	2.005545982	0.499007941	2.402915261	0	3.302816938
ENSG00000308277	0	18.04991384	0.499007941	2.402915261	0.729188479	1.100938979
ENSG00000308279	0.450674517	20.05545982	1.996031763	4.805830522	3.645942395	3.302816938
ENSG00000308282	2.253372583	30.08318973	2.495039704	19.22332209	5.104319354	6.605633876
ENSG00000308283	2.253372583	2.005545982	1.996031763	4.805830522	0.729188479	0
ENSG00000308294	1.35202355	2.005545982	0.998015882	7.208745783	2.187565437	1.100938979
ENSG00000308298	5.858768715	96.26620712	13.97222234	79.29620361	18.22971198	24.22065755
ENSG00000308299	0	0	0	0	0	0
ENSG00000308303	0	8.022183927	1.996031763	21.62623735	2.187565437	5.504694897
ENSG00000308311	0.450674517	0	0	0	0	2.201877959
ENSG00000308327	0.450674517	0	0.499007941	0	0	0
ENSG00000308329	4.957419682	2.005545982	0	0	0	0
ENSG00000308330	0	0	0.998015882	0	0.729188479	2.201877959
ENSG00000308332	0.450674517	2.005545982	0	0	0	0
ENSG00000308355	0.901349033	8.022183927	1.497023822	0	1.458376958	3.302816938
ENSG00000308356	0	0	0.499007941	2.402915261	2.916753916	1.100938979
ENSG00000308358	4.056070649	138.3826727	3.992063526	26.43206787	8.750261749	5.504694897
ENSG00000308361	0	10.02772991	0	4.805830522	0.729188479	0
ENSG00000308367	0	16.04436785	0.499007941	7.208745783	2.916753916	4.403755917
ENSG00000308375	0	4.011091963	1.996031763	7.208745783	0.729188479	2.201877959
ENSG00000308376	0.450674517	4.011091963	0	4.805830522	1.458376958	3.302816938
ENSG00000308384	1.802698066	2.005545982	0	0	0	0
ENSG00000308388	0	4.011091963	0.499007941	0	2.187565437	0
ENSG00000308413	0	0	0.499007941	0	0.729188479	0
ENSG00000308416	0	2.005545982	0	0	0	0
ENSG00000308423	0.901349033	8.022183927	0	2.402915261	0	0
