"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GLCCI1-DT",0.324616389810442,-0.0293181410686957,0.927547223181616,0.891453914978413,NA
"GLCE",19.3062191982205,-0.0224682460521913,0.671404367738468,0.961898670226132,0.979629521290208
"GLDC",0.121531413182384,0.038756955476517,0.928502389435498,0.854614620038323,NA
"GLDN",56.1350484754636,1.58951376491823,0.597305857879085,0.000606183377530475,0.0260779269542114
"GLE1",89.4425060731273,-0.515023019179514,0.483521544640397,0.213642795534871,0.423092129899044
"GLG1",231.544238855975,-0.00848058553402931,0.3986484117646,0.981239794615241,0.989863580792198
"GLI1",4.96455827719952,-0.206174586775406,0.830174948030466,0.607139638831247,NA
"GLI2",4.24156749655936,-0.0603409031734822,0.901722636774448,0.834210657419923,NA
"GLI3",31.7058678852727,0.844014414896978,0.676675418779317,0.0745493756964838,0.232831176110069
"GLI4",13.7255320951282,-0.421388188239748,0.724266131311623,0.364719276392956,0.567984678749526
"GLIDR",6.139506424882,-0.27161379972013,0.82738573773759,0.502150567915036,NA
"GLIPR1",59.595558782759,0.0141249655018607,0.529597437446721,0.974215096394403,0.985598113717829
"GLIPR1-AS1",6.07562098236342,0.0142974666461616,0.806607201619331,0.972935898997588,NA
"GLIPR1L2",0.400485876830248,0.135099861353358,0.929202986265471,0.523175939035795,NA
"GLIPR2",56.3764150607722,-0.0397440885531028,0.516320266839059,0.926514213951735,0.958090367063576
"GLIS2",1.7384722219969,-0.0910317436521471,0.922420854360081,0.696135496518838,NA
"GLIS3",13.6235574427562,0.0172030211921748,0.768685745692123,0.969262746495236,0.982735790698093
"GLMN",15.5822213848237,-0.646977403073208,0.712623782407827,0.167779328392907,0.371124666195664
"GLMP",20.881136746437,-0.374170316499661,0.659061824704968,0.426577759071846,0.61984948195277
"GLO1",130.237842643342,-1.02119399128012,0.469555261722311,0.0119232696881671,0.0878784740033304
"GLOD4",83.6665131154575,-0.521574646103311,0.507012684390837,0.221292444787185,0.432643125353347
"GLRA3",4.17562380912534,0.343164388465119,0.875824055149666,0.320852544538209,NA
"GLRB",0.249503970385845,0.0104343041567565,0.927962830494465,0.96097402403441,NA
"GLRX",40.3152968956195,-0.10495656180995,0.556958099494744,0.814835282461679,0.890681433468041
"GLRX2",19.1928604257099,0.452374875082191,0.6730340311792,0.336956476901809,0.544328447903675
"GLRX3",133.380174322279,-1.02386920159635,0.462608851232883,0.0108791376423842,0.0838875175263639
"GLRX5",33.2070331530623,-0.439052405818955,0.598719241128592,0.341374629756845,0.547760526962463
"GLS",293.021509287209,-0.616040753716587,0.391780917843266,0.0833038459987916,0.248435054925299
"GLS2",4.02024420147812,-0.280131821558766,0.864880574420758,0.436636939784007,NA
"GLT1D1",0.984461583552114,0.201217957939935,0.929294764784756,0.348729230229683,NA
"GLT8D1",32.5513411284978,-0.53185711959538,0.624900180036154,0.254968036559466,0.468633529957301
"GLT8D2",1.45221925524022,-0.0929776557733153,0.926964312602921,0.669824815568652,NA
"GLTP",122.351790215125,-0.0171495189204627,0.43871994505973,0.964704757023082,0.980868182190536
"GLUD1",191.995212903435,-0.792020314870605,0.417714262094289,0.0340529719798471,0.150289822982294
"GLUD2",0.834337036195444,-0.0556675132557405,0.926587114204247,0.798939307487997,NA
"GLUL",247.199981988413,-0.0852828672788541,0.445929784317157,0.827814183275603,0.899105828565824
"GLYATL1",0.249503970385845,0.0104343041567565,0.927962830494465,0.96097402403441,NA
"GLYATL2",1.21681170430357,0.0662132456304347,0.927297378617111,0.759468076399064,NA
"GLYCTK",8.63937236223938,0.0109018883950399,0.765814871378283,0.980582064309898,0.989537151655194
"GLYCTK-AS1",0.341770239444831,0.0470092077930209,0.928110295492472,0.825357034382523,NA
"GLYR1",122.669239518424,-0.773457538955091,0.441907243715992,0.047055326926865,0.180738839379012
"GLYR1P1",1.32281938557912,0.0579043827191317,0.910908657439576,0.827479862868227,NA
"GM2A",403.336240023276,-0.244962750170059,0.37484572340919,0.475660474559626,0.658541808957867
