gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
GLA	39	8	118	15	54	18
GLB1	117	6	160	12	50	20
GLB1L	8	2	13	1	6	10
GLB1L2	0	0	10	0	0	0
GLB1L3	8	40	6	11	12	11
GLCCI1	183	33	86	35	72	52
GLCCI1-DT	1	0	3	0	0	0
GLCE	23	10	85	8	16	11
GLDC	0	0	0	0	1	0
GLDN	15	52	35	55	41	42
GLE1	203	33	312	22	122	74
GLG1	432	141	528	91	325	175
GLI1	15	1	8	1	11	6
GLI2	0	0	51	0	0	0
GLI3	2	17	121	25	16	21
GLI4	49	2	26	6	26	9
GLIDR	20	0	12	3	11	6
GLIPR1	82	11	118	48	92	52
GLIPR1-AS1	18	2	5	3	11	6
GLIPR1L2	0	0	0	1	0	0
GLIPR2	128	22	132	25	67	56
GLIS2	1	0	20	0	0	0
GLIS3	1	1	111	4	6	9
GLMN	50	3	71	3	17	9
GLMP	55	5	79	8	21	15
GLO1	241	20	678	30	175	86
GLOD4	257	36	328	19	65	52
GLRA3	0	2	7	7	1	0
GLRB	0	0	3	0	0	0
GLRX	90	15	114	24	40	25
GLRX2	13	13	40	14	21	13
GLRX3	264	26	739	32	152	66
GLRX5	90	11	92	7	50	34
GLS	1042	92	593	86	467	237
GLS2	12	0	3	2	14	2
GLT1D1	0	0	0	2	0	1
GLT8D1	59	9	177	6	31	23
GLT8D2	0	0	16	0	1	0
GLTP	271	78	288	43	141	96
GLUD1	331	37	736	53	343	167
GLUD2	1	0	4	0	2	1
GLUL	214	17	1061	278	83	86
GLYATL1	0	0	3	0	0	0
GLYATL2	0	0	5	2	0	0
GLYCTK	29	5	13	5	8	4
GLYCTK-AS1	1	0	1	0	0	1
GLYR1	308	32	337	30	246	103
GLYR1P1	2	1	2	0	1	3
GM2A	944	132	741	180	727	361
GMCL1	102	6	73	9	39	32
GMDS	39	1	39	4	31	10
GMDS-DT	15	21	30	29	39	38
GMEB1	164	55	99	39	109	71
GMEB2	142	20	112	8	77	38
GMFB	224	28	252	44	165	121
GMFG	422	178	127	73	158	102
GMIP	157	20	126	14	101	59
GMNN	53	7	200	4	32	8
GMPPA	54	7	129	4	33	20
GMPPB	94	70	129	30	56	44
GMPR	0	1	2	1	0	0
GMPR2	120	14	203	18	105	65
GMPS	182	47	533	49	191	92
GNA11	25	18	261	8	24	26
GNA12	227	12	333	28	166	101
GNA13	949	80	378	100	536	369
GNA15	2	0	20	8	5	4
GNAI1	3	37	64	23	16	15
GNAI2	855	122	1065	87	534	305
GNAI3	290	82	493	54	162	106
GNAL	4	32	17	4	4	3
GNAO1	5	10	15	6	11	8
GNAO1-DT	3	8	10	8	1	8
GNAQ	64	20	205	24	22	38
GNAS	2183	112	3157	170	1161	624
GNAS-AS1	3	23	2	4	12	6
GNAZ	214	35	54	12	16	17
GNB1	1001	66	1180	102	651	358
GNB1-DT	3	0	3	1	2	1
GNB1L	36	52	27	14	30	15
GNB2	285	16	244	38	166	74
GNB3	20	4	1	0	0	0
GNB4	78	52	279	19	135	97
GNB5	275	57	240	33	129	60
GNE	151	12	180	10	88	57
GNG10	70	9	260	5	31	15
GNG11	56	4	974	21	10	8
GNG12	0	2	404	2	4	2
GNG2	386	20	155	35	86	83
GNG4	4	24	82	10	17	14
GNG5	137	10	177	21	67	39
GNG7	570	84	169	62	218	155
GNG8	1	0	1	0	4	0
GNGT2	14	1	15	1	13	14
GNL1	389	62	410	14	197	98
GNL2	259	16	312	26	133	68
GNL3	447	29	575	43	435	135
GNL3L	396	101	167	51	235	105
GNL3LP1	5	0	9	1	2	1
GNLY	1	1	35	4	27	13
GNMT	3	0	1	0	0	1
GNPAT	170	25	176	15	93	60
GNPATP	0	6	0	3	5	4
GNPDA1	329	39	362	31	111	87
GNPDA2	96	17	85	15	51	44
GNPNAT1	56	9	362	14	74	49
GNPTAB	458	43	226	28	138	108
GNPTG	208	23	122	21	62	41
GNRH1	14	0	10	0	8	1
GNRHR	1	4	1	3	5	5
GNRHR2	13	34	26	31	28	19
GNS	292	24	775	87	192	137
GOLGA1	78	8	141	10	69	40
GOLGA2	234	41	648	18	140	83
GOLGA2P5	1	0	0	0	0	1
GOLGA2P7	0	0	3	0	5	2
GOLGA3	397	86	676	60	218	129
GOLGA4	587	99	711	82	494	285
GOLGA4-AS1	1	0	5	0	0	3
GOLGA5	105	8	155	14	94	70
GOLGA6A	0	0	0	2	5	0
GOLGA6B	0	0	0	0	2	1
GOLGA6C	2	0	0	0	0	0
GOLGA6L1	0	16	0	0	0	0
GOLGA6L10	3	1	26	4	20	6
GOLGA6L2	1	8	8	5	1	0
GOLGA6L22	0	25	2	9	4	0
GOLGA6L23P	4	0	0	0	0	0
GOLGA6L24	0	0	0	15	0	0
GOLGA6L25	2	21	14	11	5	10
GOLGA6L26	3	0	2	7	0	0
GOLGA6L3P	0	2	0	0	1	0
GOLGA6L4	14	0	9	0	2	4
GOLGA6L5P	36	5	16	8	13	16
GOLGA6L6	0	6	5	5	1	3
GOLGA6L7	0	5	0	3	1	0
GOLGA6L9	3	0	30	10	45	32
GOLGA6L9-AS1	0	0	4	0	0	0
GOLGA7	148	10	170	9	76	48
GOLGA7B	3	11	15	9	9	13
GOLGA8A	551	32	481	63	224	106
GOLGA8B	816	60	380	60	163	65
GOLGA8H	15	2	14	0	13	3
GOLGA8IP	4	35	11	12	9	11
GOLGA8J	2	0	2	0	0	0
GOLGA8K	13	0	8	1	0	0
GOLGA8M	0	0	0	0	0	0
GOLGA8N	49	6	20	10	20	13
GOLGA8O	4	0	14	7	0	5
GOLGA8Q	0	0	0	0	2	0
GOLGA8R	20	4	12	5	6	0
GOLGA8T	0	0	7	0	0	0
GOLGB1	339	54	476	64	384	272
GOLIM4	16	10	397	19	59	28
GOLM1	0	1	229	1	0	3
GOLM2	433	75	526	67	253	200
GOLM2P1	4	0	0	0	0	0
GOLPH3	383	36	341	39	139	78
GOLPH3-DT	10	15	6	11	13	6
GOLPH3L	74	38	78	26	54	45
GOLT1B	163	13	275	21	66	56
GON4L	232	34	189	30	111	56
GON7	27	1	44	4	19	5
GOPC	221	21	210	22	155	98
GORAB	131	12	79	13	40	23
GORAB-AS1	0	0	1	1	3	1
GORASP1	155	21	131	14	62	43
GORASP2	211	34	299	20	168	95
GOSR1	172	18	140	14	95	61
GOSR2	178	43	172	22	105	64
GOT1	78	4	144	3	49	20
GOT1-DT	9	8	20	7	23	10
GOT2	184	12	264	11	132	47
GOT2P3	0	0	0	0	0	0
GOT2P6	1	0	0	0	0	0
GP1BA	1	0	0	0	1	0
GP1BB	0	0	19	0	1	0
GP5	0	3	1	0	1	3
GP6	0	2	1	0	1	2
GP6-AS1	3	0	6	2	1	3
GP9	0	0	0	0	0	0
GPA33	0	0	0	0	1	0
GPAA1	134	30	170	18	59	34
GPAA1P2	0	0	0	0	0	0
GPALPP1	109	107	117	47	118	90
GPAM	55	12	461	10	50	34
GPANK1	113	42	103	30	43	28
GPAT2	76	4	123	0	26	11
GPAT3	6	21	40	17	18	19
GPAT4	295	96	317	32	168	113
GPAT4-AS1	0	1	0	0	4	0
GPATCH1	50	3	36	4	35	25
GPATCH11	172	25	113	14	119	60
GPATCH2	52	30	111	23	47	38
GPATCH2L	220	47	421	67	243	147
GPATCH3	111	14	42	4	32	17
GPATCH4	268	50	129	18	128	48
GPATCH8	277	31	336	40	302	141
GPBAR1	0	1	0	0	0	0
GPBP1	808	67	445	67	408	266
GPBP1L1	420	55	359	65	247	189
GPC1	7	1	196	0	1	0
GPC1-AS1	0	1	0	0	0	1
GPC2	7	2	14	2	5	3
GPC3	1	6	12	4	9	10
GPC3-AS1	3	6	5	10	6	14
GPC4	0	3	3	1	9	6
GPC5	1	0	4	0	0	0
GPC6	0	0	20	0	1	0
GPCPD1	589	59	252	91	326	205
GPD1	1	0	0	0	0	0
GPD1L	21	2	24	7	94	24
GPD2	182	16	250	19	96	61
GPER1	1	0	2	0	0	0
GPHA2	0	0	0	0	0	1
GPHN	3	1	52	5	33	7
GPI	292	114	896	61	350	121
GPKOW	72	15	71	4	28	22
GPLD1	22	17	15	12	19	13
GPM6A	3	0	33	7	33	15
GPM6B	1	6	6	10	12	6
GPN1	103	15	156	7	76	45
GPN2	263	27	115	14	113	71
GPN3	86	10	163	7	59	29
GPNMB	1	1	1067	37	8	21
GPR107	190	13	601	25	127	62
GPR108	148	16	239	32	90	65
GPR12	1	3	0	9	3	7
GPR132	165	38	54	21	47	26
GPR135	12	1	10	0	8	6
GPR137	54	7	67	3	18	12
GPR137B	12	0	63	7	12	5
GPR137C	2	0	26	0	1	0
GPR139	3	10	6	17	13	11
GPR141	1	0	2	1	2	1
GPR141BP	3	13	4	13	12	8
GPR143	0	0	26	0	0	0
GPR146	0	3	8	2	1	1
GPR149	3	29	25	39	43	35
GPR15	1	0	12	11	3	1
GPR150	3	0	4	0	3	3
GPR153	5	0	16	1	6	6
GPR155	52	17	63	13	73	35
GPR155-DT	1	1	0	2	0	0
GPR156	0	0	4	0	0	0
GPR157	26	62	108	33	67	41
GPR160	86	11	30	13	53	41
GPR160P1	1	13	4	2	6	5
GPR160P2	0	10	1	10	7	6
GPR161	6	4	186	1	6	1
GPR162	0	0	1	0	0	0
GPR171	7	0	15	15	14	17
GPR173	2	4	16	7	2	5
GPR174	58	17	37	32	28	30
GPR176	0	0	185	3	0	0
GPR176-DT	3	5	2	8	4	1
GPR179	0	0	0	0	2	0
GPR18	17	1	22	9	26	6
GPR180	81	16	135	11	48	38
GPR183	465	25	191	98	175	143
GPR19	0	0	3	0	4	0
GPR199P	0	0	0	0	0	0
GPR21	0	0	0	0	2	1
GPR26	2	26	8	6	15	26
GPR27	0	0	16	2	2	0
GPR3	1	0	23	0	3	3
GPR34	15	2	0	0	0	0
